cap_ave	etmult	S1_0	S2_0	S3_0	v_s	tau_s	tau_q	call	catchment
842.3400	4.1003	260.8209	455.9725	0.0010	0.3642	0.7695	1.9451	16617	barrancas
541.7248	4.2406	27.4203	111.9594	496.8973	0.5575	0.6561	0.6561	20000	lagarto
576.1729	3.9010	0.0010	29.4503	350.7268	1.0000	0.7033	1.6412	19403	abangares
142.0345	5.9767	7.8099	2.2966	118.7270	0.0771	0.4114	2.0000	17528	blanco
227.7716	5.8736	482.1497	135.2383	302.9795	0.0828	0.0010	2.0000	10067	santarosa
301.9554	5.2103	231.3356	496.7735	367.1849	0.3525	0.0010	2.0000	18469	corobici
109.0221	7.1367	142.0979	162.1785	173.4986	0.0010	1.0000	2.0000	10363	tenorio
689.5143	3.6796	78.9596	99.9630	500.0000	0.0010	0.0152	0.4263	17430	morote
966.2201	1.3687	497.8473	476.5509	354.2234	0.0010	1.0000	1.2649	20000	canas
230.8224	5.5759	384.9068	407.9969	476.0585	0.2030	0.8606	2.0000	8903	tempisque
745.0089	1.3498	500.0000	500.0000	0.0010	0.0010	1.0000	2.0000	18582	salitral
184.2566	10.0000	113.1301	52.3910	62.4004	0.2442	0.0010	2.0000	11814	elsalto
