g_v	s_v	alpha1_v	alpha2_v	smax_v	d_v	call	catchment
100.0000	0.0001	0.5942	0.5003	625.5283	0.8873	10429.0000	barrancas
96.7730	35.4632	0.7117	0.9946	229.9731	0.1790	16300.0000	lagarto
0.0001	0.0001	0.9043	0.5988	286.4156	1.0000	10127.0000	abangares
69.6367	59.5289	0.5836	0.4343	502.8495	0.5789	6704.0000	blanco
100.0000	90.5393	0.6366	0.7402	493.9501	0.7745	6730.0000	santarosa
100.0000	73.8273	0.7946	0.6717	373.2862	0.5491	13370.0000	corobici
100.0000	60.3612	0.6255	0.3374	502.2031	0.5193	6691.0000	tenorio
52.0513	0.3851	0.9852	0.9923	267.9755	0.5740	20107.0000	morote
100.0000	100.0000	0.6687	0.2970	319.5737	0.8819	10480.0000	canas
59.1260	100.0000	0.7255	0.4575	359.3968	0.5853	12463.0000	tempisque
100.0000	0.0001	0.3861	0.2110	2000.0000	0.7768	12405.0000	salitral
68.2068	58.2004	0.5900	0.6446	498.4908	0.3151	6717.0000	elsalto
