x1	x2	model	method	call	catchment
2921.8923	1.0883	gr2m	optim	2277	barrancas
2073.5570	1.0565	gr2m	gensa	2277	barrancas
556.7450	1.0482	gr2m	optim	2147	lagarto
556.7452	1.0482	gr2m	gensa	2147	lagarto
684.0444	1.0727	gr2m	optim	2152	abangares
684.0456	1.0727	gr2m	gensa	2152	abangares
2921.8923	1.1167	gr2m	optim	2162	blanco
2609.1077	1.1064	gr2m	gensa	2162	blanco
1542.6725	0.9629	gr2m	optim	2167	santarosa
1542.6732	0.9629	gr2m	gensa	2167	santarosa
1317.9637	0.9719	gr2m	optim	2147	corobici
1317.9645	0.9719	gr2m	gensa	2147	corobici
2921.8924	1.1334	gr2m	optim	2157	tenorio
3000.0000	1.1369	gr2m	gensa	2157	tenorio
603.0747	1.0228	gr2m	optim	2152	morote
603.0757	1.0228	gr2m	gensa	2152	morote
2253.5935	1.5217	gr2m	optim	2137	canas
2253.5926	1.5217	gr2m	gensa	2137	canas
2921.8923	1.0599	gr2m	optim	2177	tempisque
2262.0406	1.0414	gr2m	gensa	2177	tempisque
3000.0000	1.4007	gr2m	optim	2137	salitral
3000.0000	1.4007	gr2m	gensa	2137	salitral
1996.3402	0.8951	gr2m	optim	2325	elsalto
1996.3385	0.8951	gr2m	gensa	2325	elsalto
