tw	f	scale	s_0	v_s	tau_s	tau_q	calls	catchment
6.3924	6.1420	0.0005	9.8449	0.6558	0.8590	1.4379	20000	barrancas
5.3001	5.2950	0.0012	4.5156	0.9908	0.4523	0.5459	20000	lagarto
8.8730	6.4843	0.0011	4.1881	0.0435	0.7054	0.6423	20289	abangares
5.5257	7.9685	0.0017	747.6187	0.0001	0.8625	2.0000	19636	blanco
28.0274	8.0000	0.0005	989.9258	0.3483	0.3133	1.2326	20448	santarosa
10.4978	5.9020	0.0008	989.4841	0.5352	0.0693	2.0000	20000	corobici
25.0815	4.4473	0.0004	749.9999	0.5000	1.0000	2.0000	7872	tenorio
24.8914	6.4870	0.0009	749.9991	0.5000	0.0001	0.0001	7842	morote
25.0345	4.5304	0.0010	750.0000	0.5000	1.0000	2.0000	7857	canas
26.5498	8.0000	0.0009	994.6629	0.3766	0.4633	2.0000	14395	tempisque
25.0210	4.9033	0.0004	750.0000	0.5000	1.0000	2.0000	7797	salitral
17.6380	7.1822	0.0008	790.0047	0.4575	0.0609	2.0000	11434	elsalto
