kge	nse	pbias	corr	d	md	aic	bic	model	method	stage	catchment
0.9237	0.8487	-0.4000	0.9240	0.9607	0.8356	566.7837	573.6551	gr2m	gensa	cal	barrancas
0.7792	0.8432	9.2000	0.9307	0.9506	0.8252	713.2082	720.7408	gr2m	gensa	val	barrancas
0.9276	0.8558	0.3000	0.9277	0.9627	0.8366	571.2809	587.3141	abcd	gensa	cal	barrancas
0.7817	0.8542	-7.4000	0.9369	0.9540	0.8392	714.5845	732.1605	abcd	gensa	val	barrancas
0.9158	0.8317	-0.2000	0.9158	0.9563	0.8092	582.5529	598.5861	budyko	gensa	cal	barrancas
0.8288	0.8501	-5.0000	0.9264	0.9549	0.8164	717.0966	734.6726	budyko	gensa	val	barrancas
0.9281	0.8567	-0.1000	0.9282	0.9629	0.8354	574.8437	595.4578	awbm	gensa	cal	barrancas
0.7840	0.8059	-10.0000	0.9069	0.9398	0.8074	744.6171	767.2148	awbm	gensa	val	barrancas
0.9324	0.8649	0.0000	0.9324	0.9651	0.8375	568.5290	586.8527	ihacres	gensa	cal	barrancas
0.8713	0.8444	0.0000	0.9191	0.9551	0.8178	724.5145	747.1122	ihacres	gensa	val	barrancas
0.8790	0.7577	0.4000	0.8791	0.9362	0.7938	613.1702	633.7843	simhyd	gensa	cal	barrancas
0.8195	0.8080	-2.5000	0.9006	0.9417	0.7856	743.6302	766.2280	simhyd	gensa	val	barrancas
0.8772	0.8277	-4.7000	0.9111	0.9522	0.8261	1106.7897	1115.6146	gr2m	gensa	cal	lagarto
0.7051	0.5056	-14.4000	0.8032	0.8844	0.7772	623.5281	630.5595	gr2m	gensa	val	lagarto
0.8914	0.8070	-0.6000	0.9002	0.9475	0.8224	1130.6482	1151.2397	abcd	gensa	cal	lagarto
0.7093	0.4493	8.0000	0.7804	0.8722	0.7351	639.8301	656.2367	abcd	gensa	val	lagarto
0.8844	0.7818	0.0000	0.8881	0.9412	0.8046	1147.8652	1168.4567	budyko	gensa	cal	lagarto
0.7782	0.5789	7.9000	0.8130	0.8965	0.7457	607.5684	623.9751	budyko	gensa	val	lagarto
0.9029	0.8177	-0.2000	0.9067	0.9514	0.8189	1126.6722	1153.1470	awbm	gensa	cal	lagarto
0.7184	0.5052	5.8000	0.8123	0.8901	0.7316	635.5927	656.6870	awbm	gensa	val	lagarto
0.9058	0.8265	2.3000	0.9116	0.9539	0.8053	1117.7613	1141.2944	ihacres	gensa	cal	lagarto
0.7895	0.5690	0.0000	0.7993	0.8885	0.7412	624.9567	646.0510	ihacres	gensa	val	lagarto
0.8130	0.6741	2.7000	0.8279	0.9075	0.7437	1208.0308	1234.5056	simhyd	gensa	cal	lagarto
0.6080	0.2170	15.4000	0.6977	0.8172	0.6755	670.9281	692.0223	simhyd	gensa	val	lagarto
0.8773	0.8063	-4.0000	0.8997	0.9464	0.8066	1286.6239	1295.8494	gr2m	gensa	cal	abangares
0.7848	0.6769	-13.1000	0.8474	0.9162	0.7618	670.3425	677.3739	gr2m	gensa	val	abangares
0.8736	0.7744	-0.2000	0.8828	0.9376	0.7976	1319.0794	1340.6056	abcd	gensa	cal	abangares
0.7965	0.6222	6.3000	0.8080	0.8961	0.7310	690.3730	706.7796	abcd	gensa	val	abangares
