INSC	COEFF	SQ	SMSC	SUB	CRAK	K	etmult	GWt0	SMSt0	call	catchment
5.0000	400.0000	0.0000	500.0000	0.0987	0.5953	0.7878	0.7666	100.0000	0.0001	20000	barrancas
5.0000	224.5077	0.2932	422.5886	0.0001	0.2790	0.8369	0.2033	3.9291	0.0001	20000	lagarto
5.0000	276.9698	0.2537	51.3120	0.0001	0.4049	1.0000	0.8361	0.0618	0.0001	20000	abangares
5.0000	400.0000	0.0000	50.0000	0.2613	0.3782	0.5208	0.9047	45.6900	0.0001	20000	blanco
5.0000	312.9330	0.0000	64.6590	0.0604	0.3080	0.6269	0.9377	0.0001	3.8211	20000	santarosa
5.0000	365.2946	0.1220	50.0000	0.1125	0.3606	0.7242	0.7162	51.1114	73.6067	20000	corobici
4.5412	348.9294	0.1206	325.7757	0.1196	0.4998	0.3595	0.1831	38.8760	2.5608	20000	tenorio
2.5254	263.9451	0.6224	79.5943	0.0001	0.9294	0.0001	0.6964	9.0309	0.0001	19407	morote
5.0000	397.5313	0.2193	50.0000	0.1432	0.7787	0.4986	0.6014	93.5948	0.0001	20000	canas
3.7863	391.4964	0.0026	254.6293	0.1302	0.3847	0.7384	0.1769	79.0867	3.4031	14589	tempisque
5.0000	400.0000	0.0000	50.6907	0.0693	0.8844	0.3602	0.2048	0.7914	3.9106	20000	salitral
5.0000	369.2022	0.1615	50.0000	0.1400	0.2152	0.5275	0.8317	43.0169	0.0001	20000	elsalto
